reviewed,word
мер.тве-ца̀,мер.тве-ца̀
мер.тве-цы̀,мер.тве-цы̀
мер.тве-цѣ́хъ,мер.тве-цѣ́хъ
ме.т*не́-нї-емъ,ме.т*не́-нї-емъ
мно-го-ѡ*б.ра́з-ныхъ,мно-го-ѡ*б.ра́з-ныхъ
мы-та́р*ствъ,мы-та́р*ствъ
на-ча́.т*ки,на-ча́.т*ки
на-шє́.ствї-ѧ,на-шє́.ствї-ѧ
не-бе*с.ныхъ,не-бе*с.ныхъ
не-пра́*в-да,не-пра́*в-да
не-пра́*в-до-ва-хомъ,не-пра́*в-до-ва-хомъ
не-пра́*в-дꙋ,не-пра́*в-дꙋ
не-пра́*в-ды,не-пра́*в-ды
не-пра́*в-дѣ,не-пра́*в-дѣ
не-со*з.да́н-но-е,не-со*з.да́н-но-е
не-со*з.да́н-нꙋ-ю,не-со*з.да́н-нꙋ-ю
не-тѣс.но-мѣ́ст-нѡ,не-тѣс.но-мѣ́ст-нѡ
не-чꙋ́в*ст.вї-ѧ,не-чꙋ́в*ст.вї-ѧ
низ-по*с.лѝ,низ-по*с.лѝ
ѡ҆*б,ѡ҆*б
ѻ҆*б.ра́-до-ван-на-ѧ,ѻ҆*б.ра́-до-ван-на-ѧ
ѡ҆*б.ра́-до-ван-на-ѧ,ѡ҆*б.ра́-до-ван-на-ѧ
ѡ҆-бꙋз.да́-те-лю,ѡ҆-бꙋз.да́-те-лю
ѡ҆б̾-ѧ́.тъ,ѡ҆б̾-ѧ́.тъ
ѻ҆.вна̀,ѻ҆.вна̀
ѻ҆́.в*цы,ѻ҆́.в*цы
ѡ҆-жи.в*ле́-нї-ю,ѡ҆-жи.в*ле́-нї-ю
ѡ҆-мер.твѣ́-ша,ѡ҆-мер.твѣ́-ша
ѡ҆-скор*б.лѧ́-ю-щихъ,ѡ҆-скор*б.лѧ́-ю-щихъ
ѻ҆-те́-че*ствъ,ѻ҆-те́-че*ствъ
ѿ-и́-де,ѿ-и́*де
ѿ-пꙋ́.ститъ,ѿ-пꙋ́.ститъ
ѻ҆́*т.расль,ѻ҆́*т.расль
ѻ҆*че́съ,ѻ҆*че́съ
па́.с*цѣ,па́.с*цѣ
пе́р.ве-нецъ,пе́р.ве-нецъ
пе́р.вен-ца,пе́р.вен-ца
пе́.тре,пе́.тре
по-бѣ́*г.ло,по-бѣ́*г.ло
по-гꙋ*б.ле́-нї-е,по-гꙋ*б.ле́-нї-е
по-гꙋ*б.лю̀,по-гꙋ*б.лю̀
по-гꙋ*б.лѧ́-етъ,по-гꙋ*б.лѧ́-етъ
