reviewed,word
бг҃о.мт҃ре,бг҃о.мт҃ре
бг҃о.мт҃рь,бг҃о.мт҃рь
бг҃о-но́*с.нї-и,бг҃о-но́*с.нї-и
бг҃о-нѡ́*с-ны-ѧ,бг҃о-нѡ́*с-ны-ѧ
б*ди́-те,б*ди́-те
б*цⷣа,б*цⷣа
б*цⷣе,б*цⷣе
б*цⷣе-ю,б*цⷣе-ю
б*цⷣꙋ,б*цⷣꙋ
б*цⷣы,б*цⷣы
б*цⷣѣ,б*цⷣѣ
б*чⷣенъ,б*чⷣенъ
без-бо.лѣ́з.нен-нѡ,без-бо.лѣ́з.нен-нѡ
без.ꙋ́м-но-е,без.ꙋ́м-но-е
без.ꙋ́м-ныхъ,без.ꙋ́м-ныхъ
без-чи́*с.лен-нѡ,без-чи́*с.лен-нѡ
без-чи́*с.лєн-нымъ,без-чи́*с.лєн-нымъ
бе́з.дна,бе́з.дна
бе́з.дны,бе́з.дны
бє́з.дны,бє́з.дны
бе́з.днѣ,бе́з.днѣ
без-мо́л*в.но-е,без-мо́л*в.но-е
без-мо́лв.ство-ва-ти,без-мо́лв.ство-ва-ти
без-сре́-брє-ни.цы,без-сре́-брє-ни.цы
без.ꙋ́-менъ,без.ꙋ́-менъ
без.ꙋ́-мї-е,без.ꙋ́-мї-е
без.ꙋ́-мї-ѧ,без.ꙋ́-мї-ѧ
без.ꙋ́м-на-гѡ,без.ꙋ́м-на-гѡ
без.ꙋ́м-нї-и,без.ꙋ́м-нї-и
без.ꙋ́м-нѡ,без.ꙋ́м-нѡ
без.ꙋ́м-ный,без.ꙋ́м-ный
без.ꙋ̑м-ны-ѧ,без.ꙋ̑м-ны-ѧ
без-чи́*с.лєн-на-ѧ,без-чи́*с.лєн-на-ѧ
без-чи́*с.лен-ныхъ,без-чи́*с.лен-ныхъ
би*ш.ке́къ,би*ш.ке́къ
б*ла-га̀,б*ла-га̀
б*ла-га́-гѡ,б*ла-га́-гѡ
б*ла-га́-ѧ,б*ла-га́-ѧ
б*ла-гі́й,б*ла-гі́й
бла-го-вѣ́.щє-нї-ѧ,бла-го-вѣ́.щє-нї-ѧ
бла-го-сло*в-лѧ́-хꙋ,бла-го-сло*в-лѧ́-хꙋ
бла-го-ꙋ.вѣ́т-ли-ва,бла-го-ꙋ.вѣ́т-ли-ва
бла-го.ѹ҆-тро́б-не,бла-го.ѹ҆-тро́б-не
бла-го.ѹ-ха́н-ный,бла-го.ѹ-ха́н-ный
бла-го-вѣ́.ще-нї-е,бла-го-вѣ́.ще-нї-е
бла-го-сло*в.лю̀,бла-го-сло*в.лю̀
бл҃го-вѣ́.ще-нї-е,бл҃го-вѣ́.ще-нї-е
бл҃го-вѣ́.ще-нї-ѧ,бл҃го-вѣ́.ще-нї-ѧ
бл҃го-ѡ*б-ра́з-ный,бл҃го-ѡ*б-ра́з-ный
бл҃го-ра*ст.во-ре́-нї-е,бл҃го-ра*ст.во-ре́-нї-е
бл҃го-сло*в-лю́,бл҃го-сло*в-лю́
бл҃го-сло*в.лю̀,бл҃го-сло*в.лю̀
бл҃го-сло*в-лѧ́-етъ,бл҃го-сло*в-лѧ́-етъ
бл҃го-сло*в-лѧ́-хꙋ,бл҃го-сло*в-лѧ́-хꙋ
бл҃го-сло*в-лѧ́-ѧй,бл҃го-сло*в-лѧ́-ѧй
бли́ж.не.мꙋ,бли́ж.не.мꙋ
б*лꙋ́д-на-го,б*лꙋ́д-на-го
блꙋ*д-ни́-ца,блꙋ*д-ни́-ца
блꙋ*д-ни́-цꙋ,блꙋ*д-ни́-цꙋ
блꙋ*д-ни́-цы,блꙋ*д-ни́-цы
блꙋ*д-ни́-цѣ,блꙋ*д-ни́-цѣ
б*лꙋ́д-нѡ,б*лꙋ́д-нѡ
б*лꙋ́д-ный,б*лꙋ́д-ный
б*лꙋ́дъ,б*лꙋ́дъ
бо-го-до.хно-ве́н-но-ю,бо-го-до.хно-ве́н-но-ю
бо-го-ме́рз.ско-е,бо-го-ме́рз.ско-е
бо-го-мꙋ́*д.рї-и,бо-го-мꙋ́*д.рї-и
бо-го-но́*с.нї-и,бо-го-но́*с.нї-и
бо-лѣ́.зней,бо-лѣ́.зней
бо-лѣ́.знемъ,бо-лѣ́.знемъ
бо-лѣ́.знен-нѡ,бо-лѣ́.знен-нѡ
бо-лѣ́.знен-ны-ѧ,бо-лѣ́.знен-ны-ѧ
бо-лѣ́.знехъ,бо-лѣ́.знехъ
бо-лѣ̑.з*ни,бо-лѣ̑.з*ни
бор.ца̀,бор.ца̀
бо-ѧ́.з*ни,бо-ѧ́.з*ни
бра*з.ды̑,бра*з.ды̑
бра́.нехъ,бра́.нехъ
бꙋ́-де.та,бꙋ́-де.та
бꙋ́-де.те,бꙋ́-де.те
бꙋ́.дꙋ-ща-гѡ,бꙋ́.дꙋ-ща-гѡ
